Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.28000000000000114, space, 4.059000000000001, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.179999999999996, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.450000000000003, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.5, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.1200000000000045, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.8999999999999986, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.7999999999999972, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.940000000000005, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.8999999999999986, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.239999999999995, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.7000000000000028, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.47999999999998977, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 97924102, Thu Aug 24 2017 17:16:45 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
