Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.6500000000000004, space, 0.9160000000000004, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.383000000000001, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.6180000000000003, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.11599999999999966, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.3500000000000014, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.18299999999999983, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.38500000000000156, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.2330000000000005, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.432000000000002, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.482999999999997, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.13400000000000034, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.28300000000000125, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.21699999999999875, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.9990000000000023, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 1.25, space, 0.16599999999999682, left, 1.9170000000000016, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.5500000000000043, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.6829999999999998, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.9509999999999934, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 1.0170000000000101, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5160000000000053, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 1.7169999999999987, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , space, 2.7169999999999987, left, 1, 0.75, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 0, 0, 7, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0829999999999984, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 1, 1, 0, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.983000000000004, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 2, 2, 4, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.75, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 3, 3, 8, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7339999999999947, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 4, 4, 11, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9159999999999968, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 5, 5, 2, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9330000000000069, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 6, 6, 6, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.4839999999999947, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 7, 7, 9, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.615000000000009, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 8, 8, 12, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9170000000000016, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 9, 9, 15, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.2830000000000155, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 10, 10, 13, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.718999999999994, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 11, 11, 1, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8170000000000073, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 12, 12, 10, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.5999999999999943, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 13, 13, 14, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8340000000000032, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 14, 14, 3, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 2.0500000000000114, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 15, 15, 5, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8990000000000009, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 1, 0, 16, 3, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9669999999999845, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 1, 1, 17, 0, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.3830000000000098, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 1, 2, 18, 2, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.1159999999999854, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 1, 3, 19, 5, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.5330000000000155, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 1, 4, 20, 12, 9947089, Wed Aug 16 2017 12:24:21 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
