Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2, space, 8.481, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 8.733, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.266000000000002, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.6169999999999973, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 11.216000000000001, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.799999999999997, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.8619999999999948, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.798000000000002, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 29.096999999999994, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.3149999999999977, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.6170000000000044, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.9000000000000057, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.783000000000001, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 3.9329999999999927, space, 2.1170000000000044, left, 4.183000000000021, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.9170000000000016, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 2.179000000000002, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.1500000000000057, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 2.217000000000013, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.717000000000013, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.1659999999999968, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 99990726, Fri Sep 08 2017 10:03:52 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
